respondent_id,dna_segment,age_group,city_tier,gender,occupation,monthly_income_midpoint,openness_score,conscientiousness_score,extraversion_score,agreeableness_score,neuroticism_score,stress_score,pss_control,pss_overwhelm,pss_confidence_r,pss_irritation_r,life_stage,current_mood,reader_identity,personalization_importance,books_per_month,reads_morning,reads_commute,reads_afternoon,reads_evening,reads_latenight,reads_weekend,reading_motivation,genre_fantasy,genre_selfhelp,genre_literary,genre_romance,genre_thriller,genre_biography,genre_business,genre_regional,genre_comics,genre_poetry,discovery_social,discovery_friends,discovery_bestsellers,discovery_apps,discovery_bookstore,discovery_youtube,discovery_syllabus,social_sharing_level,format_preference,interest_books,interest_journal,interest_bookmark,interest_candle,interest_tote,interest_apparel,interest_decor,interest_annotation,interest_pin,subscription_interest,eco_importance,gifting_behaviour,barrier_price,barrier_quality,barrier_trust,barrier_delivery,barrier_privacy,barrier_platform,trust_driver,discount_preference,psm_too_cheap,psm_bargain,psm_expensive_ok,psm_too_expensive,monthly_book_spend,lifestyle_spend,max_single_spend,shops_amazon,shops_flipkart,shops_d2c,shops_instagram,shops_whatsapp,shops_qcommerce,shops_offline,payment_method,impulse_buying,nps_proxy,switching_tendency,platform_interest,share_intent,reading_habit_status,purchase_intent,will_buy,format_class,data_quality_flag
BDNA0001,Productivity Achiever,3,1,2,2,22500,3,5,3,3,2,4,0,0,1,1,3,5,1,3,5.0,0,1,0,1,0,0,6,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,2,3,1,0,0,0,0,0,0,1,1,3,3,1,0,1,0,0,0,0,3,2,304,725.0,1247,1787,750,250,150,1,0,0,0,1,0,0,1,3,7,1,3,3,2,3,0,2,clean
BDNA0002,Non-Reader,4,5,2,2,22500,1,2,4,3,2,3,1,2,0,1,7,3,6,4,1.0,0,0,0,0,0,1,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,1,0,0,0,0,0,0,0,3,3,3,0,0,0,1,0,0,4,1,156,382.0,688,845,0,1000,350,1,1,0,1,0,0,0,4,4,5,3,3,5,4,4,0,3,clean
BDNA0003,Curious Explorer,2,2,2,4,10000,5,3,4,3,3,6,1,2,2,2,4,1,6,4,5.0,1,0,1,0,0,1,2,1,0,1,0,1,1,0,1,0,0,1,0,0,1,1,1,0,3,1,1,0,0,0,1,0,0,1,1,2,3,3,0,0,0,0,0,0,2,3,332,575.0,1123,1227,350,250,350,1,0,0,1,0,0,0,1,2,6,2,1,1,1,5,0,1,clean
BDNA0004,Emotional Reader,3,2,1,3,10000,3,3,2,4,3,9,3,1,2,2,2,4,1,4,2.5,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,2,2,1,1,1,0,1,1,1,0,0,1,2,3,0,1,0,0,0,0,5,1,172,368.0,603,851,100,2250,750,1,1,0,0,0,0,0,2,4,6,1,2,4,2,3,0,1,clean
BDNA0005,Midnight Escapist,5,4,2,2,10000,2,3,4,4,4,14,3,3,3,3,1,3,3,4,2.5,0,0,0,1,1,0,1,1,1,0,1,0,0,0,1,1,0,1,1,0,0,0,0,1,3,4,1,0,0,0,0,1,0,0,0,2,1,2,0,0,0,0,0,0,1,1,61,305.0,416,741,350,2250,150,1,0,0,0,0,0,0,1,3,5,2,1,2,2,1,1,3,clean
BDNA0006,Midnight Escapist,7,4,2,2,45000,3,3,2,4,4,12,3,3,3,4,3,1,1,4,1.0,0,0,0,0,1,0,6,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,2,1,0,1,1,1,0,1,1,0,1,3,4,1,1,0,0,0,1,3,3,391,775.0,1313,2020,0,2250,150,1,1,1,1,1,0,0,1,2,8,1,1,2,3,2,1,1,clean
BDNA0007,Midnight Escapist,2,1,1,2,2500,3,2,2,4,4,12,2,3,3,3,3,1,3,2,2.5,0,1,0,1,1,0,3,1,0,1,0,1,0,0,1,0,1,0,1,1,0,1,1,0,3,1,0,1,1,0,1,1,1,1,0,3,2,2,0,0,0,1,0,0,2,3,218,415.0,603,1024,750,7500,750,1,1,0,0,1,0,0,1,2,5,1,2,2,1,3,0,1,clean
BDNA0008,Curious Explorer,3,4,2,2,22500,3,4,4,4,2,2,1,1,0,0,3,4,4,5,1.0,0,1,0,1,1,0,2,0,1,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0,2,3,0,1,1,0,0,1,1,1,1,3,3,3,1,0,1,0,0,0,4,1,227,473.0,758,1358,100,1000,150,1,1,0,0,0,1,0,5,2,8,1,2,1,1,1,1,2,clean
BDNA0009,Emotional Reader,4,3,2,2,45000,3,4,2,5,4,7,2,1,2,2,1,1,1,3,1.0,0,0,1,0,0,1,2,0,0,1,1,1,1,0,1,1,0,0,0,0,1,0,1,0,4,5,1,0,0,1,1,0,1,0,0,2,2,2,0,0,1,0,0,0,4,4,367,,1174,1883,0,250,350,0,1,0,1,0,0,0,1,4,6,2,3,1,1,2,1,3,missing_psm
BDNA0010,Curious Explorer,5,5,1,3,10000,5,4,4,2,4,4,1,0,1,0,1,5,2,5,2.5,1,1,1,1,0,1,6,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,3,1,1,1,0,0,1,0,0,1,0,2,3,3,1,0,0,0,0,1,1,4,139,305.0,394,569,100,250,750,0,1,0,0,0,0,0,1,2,9,1,2,4,4,5,0,1,clean
